SKU,Product,Product additional attribute 6,Required by,PO #,PO date,Status,Product additional attribute 8,Supplier,Quantity,Cost,Total
AGA05071,0.5 x 1.3 mm CITO DYNAMIC (35 m / box),,20-May-2026,P23-2938,08-May-2026,Fully billed,0.5 x 1.3 mm,CITO-SYSTEM GmbH,6.00,47.3269888,283.96
AGA05071,0.5 x 1.3 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.3 mm,CITO-SYSTEM GmbH,12.00,50.6903488,608.28
AGA05071,0.5 x 1.3 mm CITO DYNAMIC (35 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.5 x 1.3 mm,CITO-SYSTEM GmbH,8.00,47.9088064,383.27
AGA05081,0.5 x 1.4 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.5 x 1.4 mm,CITO-SYSTEM GmbH,1.00,51.1845152,51.18
AGA05081,0.5 x 1.4 mm CITO DYNAMIC (35 m / box),,15-Apr-2026,P23-2849,01-Apr-2026,Completed,0.5 x 1.4 mm,CITO-SYSTEM GmbH,1.00,47.8015069,47.80
AGA05081,0.5 x 1.4 mm CITO DYNAMIC (35 m / box),,20-May-2026,P23-2938,08-May-2026,Fully billed,0.5 x 1.4 mm,CITO-SYSTEM GmbH,2.00,46.9288050,93.86
AGA05081,0.5 x 1.4 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.4 mm,CITO-SYSTEM GmbH,1.00,50.6903488,50.69
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,22-Sep-2025,P23-2409,08-Sep-2025,Completed,0.5 x 1.5 mm,CITO-SYSTEM GmbH,4.00,51.9695904,207.88
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,30-Oct-2025,P23-2511,16-Oct-2025,Receiving,0.5 x 1.5 mm,CITO-SYSTEM GmbH,20.00,52.3082560,"1,046.17"
AGA05091,0.5 x 1.5 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.5 x 1.5 mm,CITO-SYSTEM GmbH,26.00,51.4789184,"1,338.45"
